,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,total_transaction_costs,trades_count,mean_episode_reward,std_episode_reward,mean_portfolio_value,validation_episodes
Ensemble_Strategy,0.0675301605682983,0.08481010989291203,0.19639003322169873,0.43184528512794984,-0.12612900264825302,10164.114761291501,133.0,,,,
PPO_Validation,0.031154208551512914,0.03102941577383691,0.17986775156976817,0.17251239037032737,-0.14084790266846683,4423.451848876959,567.0,0.031154208551512914,0.0,1031154.2085515128,10.0
A2C_Validation,0.02113146656249999,0.023607702349172068,0.1641615347457866,0.14380775853326375,-0.19240897542720795,998.9775292968751,8.0,0.021131466562500024,3.469446951953614e-18,1021131.4665625,10.0
DDPG_Validation,0.07047765868133539,0.04969147809090765,0.1827504843633205,0.2719088721653814,-0.20668671315550108,26933.00080352784,522.0,0.07047765868133538,0.0,1070477.6586813354,10.0
Buy_Hold,0.06036281183166499,0.061270646823062186,0.06957912803991861,0.8805894605047404,-0.03727924857906582,450.5457122802734,5.0,,,,
