Date,Close,High,Low,Open,Volume,RSI,BB_upper,BB_lower,BB_position,MACD,MACD_signal,MACD_diff,CCI,ADX,DI_plus,DI_minus,Stoch_k,Stoch_d,Returns,Volatility,Market_Returns,Beta,Market_Correlation,Turbulence
2018-04-02,475.99835205078125,478.3798969925189,463.0551730195984,467.07271556716034,352730,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.017968312129740704,0.012307222822293358,0.009699675438319622,0.48249432264098474,0.21991119354191382,1.0
2018-04-03,467.4454650878906,475.06641861962765,466.5135562457859,472.58132837401496,115130,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.017968312129740704,0.012307222822293358,0.0032511600254110373,0.48249432264098474,0.21991119354191382,1.0
2018-04-04,462.1854553222656,472.1672260416369,461.81268161089923,468.0254082693418,163364,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.011252670436402656,0.012307222822293358,-0.011381123413860439,0.48249432264098474,0.21991119354191382,1.0
2018-04-05,461.3777160644531,468.54308018851174,459.534627597042,464.711899201335,149988,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.0017476518322050438,0.012307222822293358,0.019425574859986305,0.48249432264098474,0.21991119354191382,1.0
2018-04-06,456.7803039550781,463.4072115355025,455.62062546407935,457.0495321873914,146026,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.009964530035370789,0.012307222822293358,0.0006246125727966678,0.48249432264098474,0.21991119354191382,1.0
2018-04-09,457.44293212890625,460.57002400843356,455.8069347313679,455.8069347313679,119028,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,0.0014506496188444462,0.012307222822293358,0.004621743176794313,0.48249432264098474,0.21991119354191382,1.0
2018-04-10,456.5525207519531,459.74169970638013,452.30715820961944,459.65888358780705,107306,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.0019464971790233987,0.012307222822293358,0.002206341580816895,0.48249432264098474,0.21991119354191382,1.0
2018-04-11,454.4815979003906,458.0849584529321,453.528959770308,456.4282316592506,79912,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.004536001352378083,0.012307222822293358,0.0014324199692374862,0.48249432264098474,0.21991119354191382,1.0
2018-04-12,449.8634948730469,454.7922675579001,447.35767518995,453.94317479009555,109438,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.01016125416007696,0.012307222822293358,0.003983815001590951,0.48249432264098474,0.21991119354191382,1.0
2018-04-13,465.1467590332031,476.3089351595311,457.7121674923145,461.81257626337145,289764,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,0.03397311481001419,0.012307222822293358,0.002098666456015641,0.48249432264098474,0.21991119354191382,1.0
2018-04-16,475.4391174316406,480.4092971405329,465.5401660662404,465.9543477086481,270532,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,0.022127120523917965,0.012307222822293358,0.004556037037927396,0.48249432264098474,0.21991119354191382,1.0
2018-04-17,474.8179016113281,482.1074892754567,472.99549205547385,479.2082174327349,123586,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.0013066148693618995,0.012307222822293358,0.001932932196645476,0.48249432264098474,0.21991119354191382,1.0
2018-04-18,468.0252990722656,478.37984108713874,465.954390669291,477.9656594065438,83918,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,-0.014305700176870606,0.012307222822293358,-0.002132964212026689,0.48249432264098474,0.21991119354191382,1.0
2018-04-19,472.60205078125,477.7171846835769,467.65254911211275,471.3387763677962,101248,54.52018061514062,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,72.6460738154821,62.61424088051174,0.009778855369691586,0.012307222822293358,0.0037145036812440413,0.48249432264098474,0.21991119354191382,1.0
2018-04-20,466.1822509765625,474.61083879089176,463.0551587949729,472.6641543888264,69878,47.26253984455826,479.19858794653203,450.99141144311636,0.5,-3.193145798311434,-6.500389469177896,-2.7783283617865147,11.308158021388948,0.0,0.0,0.0,54.1717309344218,62.61424088051174,-0.013583944026639427,0.012307222822293358,-0.00011831183431687542,0.48249432264098474,0.21991119354191382,1.0
