Date,Close,High,Low,Open,Volume,RSI,BB_upper,BB_lower,BB_position,MACD,MACD_signal,MACD_diff,CCI,ADX,DI_plus,DI_minus,Stoch_k,Stoch_d,Returns,Volatility,Market_Returns,Beta,Market_Correlation,Turbulence
2014-01-01,139.26089477539062,141.12637810116036,138.7402880037627,139.56458426543693,1958707,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.03457924427952486,0.015022501952032193,-0.001607419875260141,0.5861174119659469,0.35365744367918206,1.0
2014-01-02,134.4453582763672,140.34551229108038,133.40415774190794,139.2609256427722,2116255,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.03457924427952486,0.015022501952032193,-0.001607419875260141,0.5861174119659469,0.35365744367918206,1.0
2014-01-03,135.6601104736328,136.2240902648832,133.31739259715567,134.01153073686802,1816178,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,0.009035285508098845,0.015022501952032193,-0.001607419875260141,0.5861174119659469,0.35365744367918206,1.0
2014-01-06,136.05056762695312,137.61237522998655,134.5755322617045,136.18071274404565,1538685,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,0.0028782016464317106,0.015022501952032193,-0.0031716682644893357,0.5861174119659469,0.35365744367918206,1.0
2014-01-07,135.79025268554688,137.26528792622716,134.66227988752658,136.22408735866364,1244854,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.0019133690211423637,0.015022501952032193,-0.00471621258208732,0.5861174119659469,0.35365744367918206,1.0
2014-01-08,136.3108367919922,138.21970638654284,135.3563953749262,136.3108367919922,2122772,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,0.003833736929931497,0.015022501952032193,0.0020041539464075164,0.5861174119659469,0.35365744367918206,1.0
2014-01-09,136.4409942626953,137.52558086255777,135.48655275898335,136.5711393588458,1740722,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,0.0009548578364444449,0.015022501952032193,-0.0010122113013233403,0.5861174119659469,0.35365744367918206,1.0
2014-01-10,135.31300354003906,138.7836801976333,134.27180319067693,137.13511408110833,2520546,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.00826724203199869,0.015022501952032193,0.0005025813397698808,0.5861174119659469,0.35365744367918206,1.0
2014-01-13,132.66661071777344,136.05052842249685,131.7989415482927,135.4431626517765,2340369,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.019557564705764308,0.015022501952032193,0.01641426269054902,0.5861174119659469,0.35365744367918206,1.0
2014-01-14,131.92910766601562,134.05489460898613,130.41068652966788,132.79677688678578,2175698,22.989044289536494,141.11236191626543,121.47905959252361,0.5,-3.5127087550376928,-2.7386435771730904,0.24527844689799583,-168.64395665338407,0.0,0.0,0.0,14.836674396529538,18.77051113556446,-0.005559070573731062,0.015022501952032193,-0.004926053540113995,0.5861174119659469,0.35365744367918206,1.0
