Date,Close,High,Low,Open,Volume,RSI,BB_upper,BB_lower,BB_position,MACD,MACD_signal,MACD_diff,CCI,ADX,DI_plus,DI_minus,Stoch_k,Stoch_d,Returns,Volatility,Market_Returns,Beta,Market_Correlation,Turbulence
2014-01-01,8.442215919494629,8.613489461703415,8.398986078463423,8.48174052327887,1242054,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.0039016956600569364,0.011836815812821712,-0.001607419875260141,0.8808868465377456,0.6061467220131254,1.0
2014-01-02,8.409276962280273,8.604842085192203,8.361929854054244,8.426157323531328,1185822,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.0039016956600569364,0.011836815812821712,-0.001607419875260141,0.8808868465377456,0.6061467220131254,1.0
2014-01-03,8.356987953186035,8.481325585789252,8.275468104501527,8.378808106088323,605682,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.006218014857731546,0.011836815812821712,-0.001607419875260141,0.8808868465377456,0.6061467220131254,1.0
2014-01-06,8.452092170715332,8.563666704014942,8.370161073069438,8.440152388791132,754182,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,0.0113802027790455,0.011836815812821712,-0.0031716682644893357,0.8808868465377456,0.6061467220131254,1.0
2014-01-07,8.41051197052002,8.547201454217126,8.300172735144681,8.481327388274826,763488,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.004919515707528466,0.011836815812821712,-0.00471621258208732,0.8808868465377456,0.6061467220131254,1.0
2014-01-08,8.38951301574707,8.481325268603825,8.31581567947427,8.407216671403472,391446,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.002496751071344172,0.011836815812821712,0.0020041539464075164,0.8808868465377456,0.6061467220131254,1.0
2014-01-09,8.33351993560791,8.440153915588317,8.28370293962386,8.440153915588317,545292,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.006674175251180969,0.011836815812821712,-0.0010122113013233403,0.8808868465377456,0.6061467220131254,1.0
2014-01-10,8.155660629272461,8.357812915133742,7.987269064130692,8.333521304587022,3008709,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.02134263885005927,0.011836815812821712,0.0005025813397698808,0.8808868465377456,0.6061467220131254,1.0
2014-01-13,8.280821800231934,8.357813131265786,8.151955603703096,8.151955603703096,500742,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,0.015346539863397624,0.011836815812821712,0.01641426269054902,0.8808868465377456,0.6061467220131254,1.0
2014-01-14,8.28370475769043,8.398984572243851,8.174599300866372,8.25076733463327,380556,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,0.00034814871374422296,0.011836815812821712,-0.004926053540113995,0.8808868465377456,0.6061467220131254,1.0
2014-01-15,8.242119789123535,8.308405882337114,8.184891543652018,8.201771901391558,598257,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.0050200930360643214,0.011836815812821712,0.012664483037998941,0.8808868465377456,0.6061467220131254,1.0
2014-01-16,8.200124740600586,8.274646168656602,8.193126306539492,8.193538344981214,3479949,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,-0.0050951757069057635,0.011836815812821712,-0.0003164106426141178,0.8808868465377456,0.6061467220131254,1.0
2014-01-17,8.205888748168945,8.308406236723549,8.119840357095446,8.168834833698384,652014,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,0.0007029170592760536,0.011836815812821712,-0.00906012136365153,0.8808868465377456,0.6061467220131254,1.0
2014-01-20,8.28205394744873,8.316638735896476,8.151953228292928,8.193124410836106,597069,42.918115567910775,8.585965633229534,7.897532320185383,0.5,-0.19690917620394366,-0.14908467819439133,0.05623448976448556,-225.671380826879,0.0,0.0,0.0,47.07366359522091,42.26248217617756,0.009281773323673193,0.011836815812821712,0.006755454812783057,0.8808868465377456,0.6061467220131254,1.0
