dataset,records,start_date,end_date,avg_close,volatility
Market (Train),2761,2014-01-02,2025-03-28,13189.004008468964,0.1625131020022182
Market (Test),44,2025-06-16,2025-08-14,25024.303622159092,0.08742173292505248
