ticker,train_records,test_records,train_start,train_end,test_start,test_end,avg_price,volatility,beta
TRENT.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1140.4530489316624,0.02025341691732387,0.8093090844235258
INDUSTOWER.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,235.44462365619208,0.02357196766672613,0.7717134856292158
GUJGASLTD.NS,2353,44,2015-09-15,2025-03-28,2025-06-16,2025-08-14,323.6160213342384,0.01934529320340526,0.628701094007594
SBICARD.NS,1249,44,2020-03-16,2025-03-28,2025-06-16,2025-08-14,816.1244746040974,0.01826456754372741,0.7649582717344784
LUPIN.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1130.7925421642217,0.01751122180441674,0.6631659193559967
NYKAA.NS,838,44,2021-11-10,2025-03-28,2025-06-16,2025-08-14,192.4273907153874,0.024206492806031054,0.8477014058852061
PAYTM.NS,832,44,2021-11-18,2025-03-28,2025-06-16,2025-08-14,712.271573470189,0.032900237168980426,0.9680769373888952
PNB.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,87.99565015146976,0.02485595647711147,1.563510182297281
BIOCON.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,244.39879162716514,0.020189348646221517,0.8281533077413941
POLICYBZR.NS,835,44,2021-11-15,2025-03-28,2025-06-16,2025-08-14,962.4655094352311,0.02930648723931284,1.1271846443852531
HAL.NS,1729,44,2018-04-02,2025-03-28,2025-06-16,2025-08-14,1307.8951394570363,0.021179350932107092,0.8749042257827137
BEL.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,70.65872027819826,0.021915068348311192,1.1315358579080983
MPHASIS.NS,2773,44,2014-01-01,2025-03-28,2025-06-16,2025-08-14,1233.3170614479855,0.019682052424363165,0.694967445324527
LODHA.NS,978,44,2021-04-19,2025-03-28,2025-06-16,2025-08-14,772.3918457499311,0.029009854480528625,1.3726472251746284
